,fac_nm,fac_type,road_addr,jibun_addr,lat,lon,phone_num,capacity,manage_agency,base_date
0,경동원,아동양육시설,경기도 수원시 장안구 광교산로374번길 55,경기도 수원시 장안구 하광교동 43-2,37.31855234,127.02039,031-255-0460,54,수원시 보육아동과,2021-04-21
1,동광원,아동양육시설,경기도 수원시 팔달구 팔달로173번길 25-5,경기도 수원시 팔달구 화서동 41-4,37.28379954,127.0056933,031-255-0367,60,수원시 보육아동과,2021-04-21
2,꿈을키우는집,아동양육시설,경기도 수원시 장안구 송정로90번길 33-2,경기도 수원시 장안구 정자동 7-12,37.29430991,127.0082268,031-256-1814,60,수원시 보육아동과,2021-04-21
3,수원나자렛집,아동양육시설,경기도 수원시 영통구 반달로 62-1,경기도 수원시 영통구 영통동 1013-3,37.24978668,127.0786921,031-205-2018,15,수원시 보육아동과,2021-04-21
4,나섬의집,아동공동생활가정,경기도 수원시 장안구 하률로30번길 22,경기도 수원시 장안구 천천동 564,37.30262712,126.9751045,031-207-0175,7,수원시 보육아동과,2021-04-21
5,행복한집,아동공동생활가정,경기도 수원시 장안구 정자천로188번길 71-21,경기도 수원시 장안구 정자동 30-1,37.29415927,126.998696,031-258-5727,7,수원시 보육아동과,2021-04-21
6,샬롬하우스,아동공동생활가정,경기도 수원시 권선구 고산로6번길 45,경기도 수원시 권선구 고색동 291,37.24839865,126.9847255,031-297-4620,6,수원시 보육아동과,2021-04-21
7,엘림그룹홈,아동공동생활가정,경기도 수원시 권선구 동수원로145번길 24,경기도 수원시 권선구 권선동 1361,37.24527557,127.0297824,000-000-0000,7,수원시 보육아동과,2021-04-21
8,YM그룹홈,아동공동생활가정,경기도 수원시 장안구 장안로 211,경기도 수원시 장안구 정자동 395-3,37.30148663,126.9941413,031-242-5879,6,수원시 보육아동과,2021-04-21
9,수원나르샤,아동공동생활가정,경기도 수원시 팔달구 화양로38번길 54,경기도 수원시 팔달구 화서동 120-17,37.28135542,126.9994538,031-257-8436,7,수원시 보육아동과,2021-04-21
10,좋은친구,아동공동생활가정,비공개,,,,000-000-0000,7,수원시 보육아동과,2021-04-21
11,좋은이웃,아동공동생활가정,비공개,,,,000-000-0000,7,수원시 보육아동과,2021-04-21
12,희망넝쿨,아동공동생활가정,경기도 수원시 장안구 상률로 32,경기도 수원시 장안구 율전동 546,37.30672105,126.9689094,031-294-3777,6,수원시 보육아동과,2021-04-21
13,꿈나무의집,아동공동생활가정,경기도 수원시 권선구 고산로 9,경기도 수원시 권선구 고색동 298-7,37.24748454,126.9821561,031-892-9194,5,수원시 보육아동과,2021-04-21
14,수원희망의집,아동공동생활가정,경기도 수원시 팔달구 화양로50번길 30,경기도 수원시 팔달구 화서동 250-4,37.28186838,127.0010742,031-248-5771,6,수원시 보육아동과,2021-04-21
15,참사랑,아동공동생활가정,경기도 수원시 권선구 당진로14번길 46,경기도 수원시 권선구 당수동 730-1,37.28951109,126.9440043,000-000-0000,6,수원시 보육아동과,2021-04-21
