,fac_nm,sido_nm,sgg_nm,sgg_cd,road_addr,jibun_addr,lat,lon,week_start_time,week_end_time,sat_start_time,sat_end_time,holiday_start_time,holiday_end_time,free_time,latefee_impose_time,latefee,ctrl_gbn,use_tip,c_box_type,c_box_cnt,c_box_depth,c_box_width,c_box_height,install_date,phone_num,manage_agency,manage_agency_pn,base_date
0,파장동 행정복지센터,경기도,수원시,41110,경기도 수원시 장안구 파장천로 60 (파장동),,37.3103196,126.997419,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
1,율천동 행정복지센터,경기도,수원시,41110,경기도 수원시 장안구 서부로 2106번길 27 (율천동),,37.29761518,126.9714246,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
2,정자1동 행정복지센터,경기도,수원시,41110,경기도 수원시 장안구 정자로 130번길 20 (정자동),,37.30221359,126.9912924,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
3,조원1동 행정복지센터,경기도,수원시,41110,경기도 수원시 장안구 금당로 56 (조원동),,37.3017782,127.0164992,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/3+03/12,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
4,연무동 행정복지센터,경기도,수원시,41110,경기도 수원시 장안구 경수대로 757 (연무동),,37.29055974,127.0215311,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
5,평동 행정복지센터,경기도,수원시,41110,경기도 수원시 권선구 평동로 76번길 13 (평동),,37.25805922,126.9941698,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
6,권선1동 행정복지센터,경기도,수원시,41110,경기도 수원시 권선구 경수대로 352번길 29 (권선동),,37.25775045,127.0246534,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
7,곡선동 행정복지센터,경기도,수원시,41110,경기도 수원시 권선구 동수원로 146번길 174 (곡반정동),,37.24331719,127.0333452,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/3+03/12,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
8,버드내도서관,경기도,수원시,41110,경기도 수원시 권선구 세권로94번길 29(세류동),,37.25682221,127.014776,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/3+03/12,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
9,서호노인복지관,경기도,수원시,41110,경기도 수원시 권선구 구운로 4번길 34 (구운동),,37.2784962,126.9761901,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
10,화서1동 행정복지센터,경기도,수원시,41110,경기도 수원시 팔달구 동말로 4번길 10 (화서동),,37.27642249,126.9950366,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
11,지동 행정복지센터,경기도,수원시,41110,경기도 수원시 팔달구 팔달문로 115번길 5 (지동),,37.28203805,127.0284357,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
12,매탄2동 행정복지센터,경기도,수원시,41110,경기도 수원시 영통구 매영로 39번길 21 (매탄동),,37.2701247,127.0474227,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2021-01-19
13,수원시가족여성회관,경기도,수원시,41110,경기도 수원시 팔달구 매산로 119 (교동),,37.27177606,127.0134846,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/2+03/8,02/55+03/55,02/45+03/45,02/60+03/30,2019-06-14,1899-4711,수원시,031-228-3218,2021-01-19
14,행궁동 행정복지센터,경기도,수원시,41110,경기도 수원시 팔달구 신풍로23번길 40 (신풍동),,37.2840064,127.0126305,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2019-07-01,1899-4711,수원시,031-228-3218,2021-01-19
15,송죽동 주민행복쉼터,경기도,수원시,41110,경기도 수원시 장안구 정조로 1041번길 12-3 (송죽동),,37.298573,127.0057109,0:00,23:59,0:00,23:59,0:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/3+03/10,02/55+03/55,02/45+03/45,02/60+03/30,2019-10-01,1899-4711,수원시,031-228-3218,2021-01-19
